Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
D,305,Matip,4.9,4.9,Liverpool,17,0.53,19,0.83,23,1.09,0.00
D,306,Phillips,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0.00
D,307,Robertson,6.6,6.6,Liverpool,81,2.83,81,4.24,79,4.44,0.00
M,308,Salah,12.6,12.6,Liverpool,89,5.79,84,6.71,80,6.82,0.13
M,309,Szoboszlai,7.0,7.0,Liverpool,84,3.77,80,4.31,79,4.48,0.00
M,310,Thiago,4.8,4.8,Liverpool,7,0.30,38,1.51,49,1.95,0.00
D,311,Tsimikas,4.4,4.4,Liverpool,11,0.45,10,0.52,11,0.59,0.00
D,312,Van den Berg,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0.00
D,313,Virgil,6.0,6.0,Liverpool,91,2.60,89,3.89,85,4.02,0.00
F,314,Adebayo,4.8,4.8,Luton,27,1.30,29,1.36,29,1.25,0.00
D,315,Andersen,4.0,4.0,Luton,55,1.03,41,1.12,36,0.68,0.00
D,316,Bell,4.0,4.0,Luton,63,1.23,83,2.26,77,1.39,0.01
M,317,Berry,4.8,4.8,Luton,11,0.49,6,0.30,8,0.38,0.00
D,318,Burke,4.0,4.0,Luton,68,1.50,63,1.89,57,1.20,0.00
M,319,Campbell,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0.00
M,320,Clark,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0.00
D,321,Doughty,4.4,4.4,Luton,68,2.09,64,2.56,62,1.76,0.02
M,322,Freeman,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0.00
G,323,Macey,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0.00
F,324,McAtee,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0.00
M,325,Mendes,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0.00
F,326,Morris,5.6,5.6,Luton,81,3.30,79,3.23,76,2.80,0.42
F,327,Muskwe,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0.00
F,328,Ogbene,4.9,4.9,Luton,57,1.98,57,2.00,56,1.82,0.00
M,329,Onyedinma,5.0,5.0,Luton,0,0.00,0,0.00,0,0.00,0.00
D,330,Osho,4.4,4.4,Luton,0,0.00,16,0.44,41,0.78,0.00
F,331,Pepple,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0.01
M,332,Pereira,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0.00
D,333,Potts,3.9,3.9,Luton,0,0.00,0,0.00,0,0.00,0.00
M,334,Rea,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0.00
G,335,Shea,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0.00
F,336,Taylor,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0.01
M,337,Thorpe,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0.00
G,338,Walton,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0.00
M,339,Watson,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0.00
F,340,Woodrow,4.4,4.4,Luton,5,0.35,6,0.37,7,0.39,0.00
D,341,Akanji,5.0,5.0,Man City,65,2.14,50,2.03,50,1.76,0.01
D,342,Aké,5.1,5.1,Man City,58,2.08,51,2.21,52,1.97,0.00
F,343,J.Alvarez,7.0,7.0,Man City,80,3.72,74,4.95,74,3.79,0.62
M,344,Bernardo,6.3,6.3,Man City,57,2.31,62,3.48,61,2.71,0.00
M,345,Bobb,4.4,4.4,Man City,3,0.17,1,0.09,2,0.11,0.00
D,346,Cancelo,5.8,5.8,Man City,0,0.00,0,0.00,0,0.00,0.00
G,347,Carson,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0.00
M,348,Charles,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0.00
M,349,De Bruyne,10.2,10.2,Man City,0,0.00,0,0.00,0,0.00,0.00
D,350,Rúben,5.5,5.5,Man City,83,2.77,77,3.11,76,2.72,0.24
M,351,Doyle,4.4,4.4,Wolves,4,0.28,4,0.28,4,0.24,0.00
G,352,Ederson M.,5.6,5.6,Man City,93,3.50,92,3.61,92,3.51,0.03
M,353,Foden,7.6,7.6,Man City,66,3.21,61,4.09,61,3.25,0.16
M,354,Grealish,7.3,7.3,Man City,61,2.87,54,3.65,55,2.91,0.00
F,355,Haaland,14.1,14.1,Man City,90,4.99,85,7.28,84,5.26,0.99
M,356,Kovačić,4.9,4.9,Man City,72,2.38,60,2.60,57,2.12,0.00
D,357,Laporte,4.9,4.9,Man City,0,0.00,0,0.00,0,0.00,0.00
D,358,R.Lewis,4.3,4.3,Man City,5,0.17,4,0.15,5,0.17,0.00
M,359,Mahrez,7.5,7.5,Man City,0,0.00,0,0.00,0,0.00,0.00
M,360,McAtee,4.4,4.4,Sheffield Utd,53,2.13,45,1.88,43,1.57,0.00
G,361,Ortega Moreno,3.9,3.9,Man City,2,0.07,3,0.11,3,0.13,0.00
M,362,Palmer,4.9,4.9,Chelsea,47,2.52,32,1.47,34,1.88,0.00
M,363,Perrone,4.4,4.4,Man City,0,0.00,0,0.00,0,0.00,0.00
M,364,Phillips,4.8,4.8,Man City,25,0.83,6,0.24,7,0.27,0.00
M,365,Rodrigo,5.6,5.6,Man City,0,0.00,87,3.16,86,2.71,0.00
D,366,Sergio Gómez,3.9,3.9,Man City,5,0.20,3,0.17,5,0.21,0.00
G,367,Steffen,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0.00
D,368,Stones,5.3,5.3,Man City,31,1.10,67,2.76,66,2.42,0.00
D,369,Walker,5.3,5.3,Man City,74,2.46,63,2.57,62,2.20,0.01
D,370,Alex Telles,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,371,Amad,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,372,Antony,6.8,6.8,Man Utd,10,0.59,52,2.93,58,2.46,0.00
M,373,B.Fernandes,8.4,8.4,Man Utd,91,5.41,89,5.53,83,3.64,0.83
D,374,B.Williams,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0.00
D,375,Bailly,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,376,Casemiro,5.4,5.4,Man Utd,90,3.02,87,3.03,86,2.43,0.00
D,377,Dalot,4.9,4.9,Man Utd,91,3.98,87,3.97,86,2.37,0.11
M,378,Elanga,5.0,5.0,Nott'm Forest,45,2.04,44,2.42,41,1.69,0.00
M,379,Eriksen,5.9,5.9,Man Utd,41,2.36,30,1.83,29,1.36,0.00
D,380,Fernandez,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,381,Fred,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,382,Garnacho,4.8,4.8,Man Utd,13,0.83,10,0.69,11,0.58,0.00
M,383,Hannibal,4.4,4.4,Man Utd,36,1.63,25,1.23,25,1.04,0.00
G,384,Heaton,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0.00
G,385,Henderson,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,386,Lindelof,4.5,4.5,Man Utd,81,3.17,78,3.14,74,1.91,0.00
D,387,Maguire,4.2,4.2,Man Utd,25,1.03,24,1.01,25,0.70,0.00
M,388,Mainoo,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0.00
D,389,Malacia,4.3,4.3,Man Utd,0,0.00,0,0.00,0,0.00,0.00
F,390,Martial,6.5,6.5,Man Utd,24,1.58,24,1.59,24,1.30,0.00
D,391,Martinez,4.8,4.8,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,392,McTominay,4.8,4.8,Man Utd,24,0.92,17,0.67,13,0.45,0.00
D,393,Mengi,3.9,3.9,Luton,16,0.34,11,0.33,9,0.21,0.00
M,394,Pellistri,4.4,4.4,Man Utd,23,1.37,16,0.96,14,0.70,0.00
D,395,R.Varane,5.0,5.0,Man Utd,88,3.64,84,3.61,79,2.21,0.00
M,396,Rashford,8.8,8.8,Man Utd,85,5.45,82,5.46,81,3.93,0.79
M,397,Sancho,6.8,6.8,Man Utd,0,0.00,0,0.00,0,0.00,0.00
D,398,Shaw,5.2,5.2,Man Utd,0,0.00,41,2.01,74,2.15,0.00
F,399,Shoretire,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,400,Van de Beek,4.8,4.8,Man Utd,2,0.14,2,0.14,1,0.07,0.00
D,401,Wan-Bissaka,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0.00
M,402,Almirón,6.3,6.3,Newcastle,76,3.86,69,3.91,67,3.66,0.00
M,403,Anderson,4.4,4.4,Newcastle,42,2.09,21,1.18,22,1.19,0.00
D,404,Ashby,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,405,Botman,4.7,4.7,Newcastle,0,0.00,16,0.77,46,1.90,0.67
M,406,Bruno G.,5.8,5.8,Newcastle,91,2.83,87,3.07,79,2.69,0.00
D,407,Burn,4.6,4.6,Newcastle,88,3.09,85,4.03,83,3.41,0.04
G,408,Darlow,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
G,409,Dubravka,3.9,3.9,Newcastle,1,0.06,2,0.09,3,0.12,0.00
M,410,Fraser,4.9,4.9,Newcastle,0,0.00,0,0.00,0,0.00,0.00
G,411,Gillespie,3.9,3.9,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,412,Gordon,5.6,5.6,Newcastle,0,0.00,65,3.35,64,3.21,0.03
M,413,Hayden,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,414,Hendrick,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0.00
F,415,Isak,7.5,7.5,Newcastle,77,4.54,66,4.25,66,4.11,0.00
M,416,Joelinton,5.8,5.8,Newcastle,42,1.63,74,3.11,72,2.89,0.00
D,417,Krafth,4.4,4.4,Newcastle,0,0.00,0,0.00,3,0.10,0.00
M,418,Kuol,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,419,Lascelles,3.9,3.9,Newcastle,45,1.57,40,1.86,28,1.13,0.00
D,420,J.Lewis,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,421,Longstaff,4.9,4.9,Newcastle,47,1.67,22,0.91,21,0.85,0.00
D,422,Manquillo,4.0,4.0,Newcastle,1,0.04,0,0.00,1,0.05,0.00
M,423,J.Murphy,4.8,4.8,Newcastle,42,2.21,22,1.38,24,1.42,0.00
G,424,Pope,5.5,5.5,Newcastle,94,3.61,93,4.13,92,3.77,0.00
M,425,Ritchie,4.4,4.4,Newcastle,11,0.49,3,0.17,4,0.20,0.00
M,426,Saint-Maximin,6.0,6.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,427,Schär,5.1,5.1,Newcastle,91,3.20,87,4.14,85,3.51,0.15
D,428,Targett,4.3,4.3,Newcastle,29,1.17,29,1.45,21,0.91,0.00
M,429,Tonali,5.5,5.5,Newcastle,87,2.92,81,3.02,78,2.78,0.00
D,430,Trippier,6.8,6.8,Newcastle,89,3.88,87,4.94,84,4.25,0.65
D,431,Watts,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
M,432,Willock,5.3,5.3,Newcastle,0,0.00,6,0.34,20,0.99,0.00
F,433,Wilson,7.8,7.8,Newcastle,37,2.42,49,3.48,47,3.27,0.01
M,434,B.Aguilera,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,435,Arter,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,436,Aurier,4.5,4.5,Nott'm Forest,49,1.77,41,2.00,39,0.82,0.00
F,437,Awoniyi,6.6,6.6,Nott'm Forest,77,3.53,76,4.45,72,2.98,0.00
D,438,Biancone,3.9,3.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,439,Boly,4.5,4.5,Nott'm Forest,80,2.63,62,2.87,54,0.90,0.00
M,440,Bowler,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,441,Cook,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,442,Danilo,5.3,5.3,Nott'm Forest,0,0.00,8,0.39,36,1.21,0.00
F,443,Dennis,4.8,4.8,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,444,Dräger,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,445,Felipe,4.4,4.4,Nott'm Forest,27,0.88,49,2.17,72,1.08,0.00
M,446,Freuler,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,447,Gibbs-White,5.8,5.8,Nott'm Forest,87,3.94,85,5.05,83,3.23,0.01
G,448,Hennessey,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
G,449,Horvath,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,450,Johnson,5.8,5.8,Spurs,0,0.00,9,0.56,18,0.97,0.00
M,451,Kouyaté,4.9,4.9,Nott'm Forest,13,0.52,8,0.34,9,0.35,0.00
D,452,Laryea,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,453,Mangala,5.0,5.0,Nott'm Forest,73,2.19,66,2.28,63,1.76,0.00
D,454,Mbe Soh,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,455,McKenna,4.5,4.5,Nott'm Forest,42,1.41,11,0.48,10,0.23,0.00
M,456,Mighten,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,457,Niakhaté,4.5,4.5,Nott'm Forest,0,0.00,77,3.35,73,1.16,0.00
M,458,O'Brien,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,459,Ojeda,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,460,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
D,461,O.Richards,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,462,G.Scarpa,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
M,463,J.Shelvey,4.8,4.8,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
F,464,Surridge,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.01
D,465,Toffolo,4.4,4.4,Nott'm Forest,7,0.24,2,0.10,3,0.07,0.00
F,466,Ui-jo,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.01
D,467,Williams,4.4,4.4,Nott'm Forest,21,0.76,14,0.64,13,0.31,0.00
F,468,Wood,4.9,4.9,Nott'm Forest,6,0.44,8,0.60,8,0.47,0.00
D,469,Worrall,4.5,4.5,Nott'm Forest,58,1.76,31,1.34,25,0.42,0.00
M,470,Yates,4.9,4.9,Nott'm Forest,38,1.28,49,1.87,45,1.37,0.00
D,471,Ahmedhodžić,4.4,4.4,Sheffield Utd,90,2.21,88,1.83,80,1.01,0.00
G,472,Amissah,3.9,3.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0.00
D,473,Baldock,3.9,3.9,Sheffield Utd,18,0.57,65,1.81,64,1.14,0.26
D,474,Basham,4.0,4.0,Sheffield Utd,42,1.09,19,0.43,28,0.42,0.00
M,475,Berge,4.8,4.8,Burnley,71,2.30,67,2.23,65,2.24,0.00
D,476,Bogle,4.5,4.5,Sheffield Utd,68,2.09,30,0.92,31,0.67,0.00
F,477,Brewster,4.9,4.9,Sheffield Utd,7,0.46,6,0.40,6,0.35,0.00
M,478,Coulibaly,4.4,4.4,Sheffield Utd,1,0.07,1,0.06,1,0.05,0.00
G,479,A.Davies,4.0,4.0,Sheffield Utd,2,0.08,2,0.08,3,0.10,0.00
D,480,Egan,4.4,4.4,Sheffield Utd,42,1.04,83,1.76,79,1.03,0.00
M,481,Fleck,4.9,4.9,Sheffield Utd,6,0.30,8,0.41,12,0.48,0.00
G,482,Foderingham,4.5,4.5,Sheffield Utd,93,3.23,93,3.14,92,3.00,0.00
F,483,Jebbison,4.8,4.8,Sheffield Utd,0,0.00,0,0.00,1,0.11,0.00
D,484,Lowe,4.4,4.4,Sheffield Utd,0,0.00,0,0.00,0,0.00,0.00
F,485,McBurnie,5.4,5.4,Sheffield Utd,70,2.63,69,2.73,67,2.21,0.00
F,486,Ndiaye,5.5,5.5,Sheffield Utd,0,0.00,0,0.00,0,0.00,0.00
D,487,Norrington-Davies,3.9,3.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0.00
M,488,Norwood,4.9,4.9,Sheffield Utd,41,1.38,36,1.26,38,1.16,0.00
M,489,Osborn,4.8,4.8,Sheffield Utd,0,0.00,0,0.00,0,0.00,0.00
F,490,Osula,4.4,4.4,Sheffield Utd,2,0.10,6,0.36,7,0.38,0.06
G,491,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,492,Bentancur,5.4,5.4,Spurs,0,0.00,6,0.25,13,0.46,0.00
M,493,Bissouma,5.0,5.0,Spurs,79,2.70,59,2.05,63,1.95,0.00
M,494,Bryan,4.9,4.9,Spurs,0,0.00,4,0.24,6,0.36,0.00
D,495,Davies,4.3,4.3,Spurs,18,0.81,22,0.99,24,0.93,0.00
D,496,Dier,4.3,4.3,Spurs,9,0.39,15,0.60,19,0.67,0.00
D,497,E.Royal,4.5,4.5,Spurs,19,0.93,23,1.11,24,0.98,0.00
G,498,Forster,4.0,4.0,Spurs,2,0.06,3,0.10,2,0.09,0.00
M,499,Højbjerg,5.3,5.3,Spurs,32,1.20,39,1.41,36,1.21,0.00
F,500,Kane,12.5,12.5,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,501,Kulusevski,7.0,7.0,Spurs,82,4.26,76,3.90,73,3.19,0.00
G,502,Lloris,4.8,4.8,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,503,Lo Celso,4.8,4.8,Spurs,0,0.00,6,0.36,12,0.65,0.00
M,504,Maddison,7.9,7.9,Spurs,88,5.70,86,5.42,81,4.33,0.35
M,505,Ndombele,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,506,Pedro Porro,5.0,5.0,Spurs,78,4.10,74,3.69,73,3.05,0.01
D,507,Perišić,4.8,4.8,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,508,Reguilón,4.4,4.4,Man Utd,0,0.00,9,0.48,15,0.52,0.00
M,509,Richarlison,6.7,6.7,Spurs,59,4.55,56,4.23,52,3.30,0.01
D,510,Rodon,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,511,Romero,4.8,4.8,Spurs,91,3.82,86,3.40,83,2.78,0.00
D,512,Sánchez,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,513,Sarr,4.6,4.6,Spurs,59,2.73,59,2.65,55,2.18,0.00
D,514,Sessegnon,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0.00
M,515,Skipp,4.7,4.7,Spurs,22,0.79,25,0.86,22,0.73,0.00
M,516,Son,9.3,9.3,Spurs,88,6.44,83,6.00,83,4.89,0.44
D,517,Spence,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,518,Tanganga,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,519,Udogie,4.8,4.8,Spurs,80,4.08,75,3.66,73,2.98,0.57
G,520,Vicario,5.1,5.1,Spurs,93,3.94,92,3.77,92,3.59,0.00
G,521,Whiteman,3.9,3.9,Spurs,0,0.00,0,0.00,0,0.00,0.00
D,522,N.Aguerd,4.5,4.5,West Ham,88,2.47,85,2.20,82,3.26,0.00
F,523,Antonio,5.9,5.9,West Ham,66,3.03,65,2.91,62,3.29,0.00
G,524,Areola,4.2,4.2,West Ham,92,3.32,91,3.22,90,3.64,0.11
M,525,Benrahma,5.8,5.8,West Ham,24,1.41,31,1.69,31,1.98,0.00
M,526,Bowen,7.2,7.2,West Ham,84,3.80,81,3.60,80,4.35,0.03
M,527,Cornet,5.3,5.3,West Ham,4,0.27,7,0.44,10,0.62,0.00
D,528,Coufal,4.5,4.5,West Ham,80,2.25,76,1.98,76,3.01,0.00
M,529,Coventry,4.4,4.4,West Ham,1,0.05,4,0.15,3,0.13,0.00
D,530,Cresswell,4.3,4.3,West Ham,0,0.00,0,0.00,0,0.00,0.00
M,531,Downes,5.0,5.0,West Ham,0,0.00,0,0.00,0,0.00,0.00
D,532,Emerson,4.5,4.5,West Ham,87,2.50,85,2.25,78,3.19,0.00
G,533,Fabianski,4.3,4.3,West Ham,3,0.10,4,0.13,5,0.20,0.00
M,534,P.Fornals,4.8,4.8,West Ham,12,0.62,17,0.84,19,1.08,0.00
F,535,Ings,5.7,5.7,West Ham,25,1.46,24,1.37,27,1.70,0.00
D,536,Johnson,4.4,4.4,West Ham,10,0.29,13,0.36,18,0.69,0.00
D,537,Kehrer,4.3,4.3,West Ham,17,0.50,24,0.67,26,1.03,0.00
F,538,Mubama,4.3,4.3,West Ham,2,0.11,3,0.17,4,0.24,0.10
M,539,L.Paquetá,6.0,6.0,West Ham,74,3.01,71,2.79,69,3.33,0.00
M,540,Rice,5.4,5.4,Arsenal,89,2.50,85,2.54,80,3.02,0.00
F,541,Scamacca,6.0,6.0,West Ham,0,0.00,0,0.00,0,0.00,0.00
M,542,Souček,4.9,4.9,West Ham,77,2.51,76,2.44,76,2.80,0.00
M,543,Vlašić,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0.00
D,544,Zouma,4.5,4.5,West Ham,83,2.44,81,2.19,80,3.27,0.00
D,545,Aït-Nouri,4.5,4.5,Wolves,61,2.17,58,2.25,56,1.78,0.00
G,546,Bentley,4.0,4.0,Wolves,1,0.04,2,0.07,3,0.12,0.00
D,547,Bolla,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0.00
D,548,H.Bueno,4.4,4.4,Wolves,17,0.68,19,0.79,22,0.80,0.00
M,549,Chiquinho,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0.00
M,550,Cundle,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0.00
D,551,Dawson,4.5,4.5,Wolves,90,2.50,89,2.69,86,2.06,0.00
F,552,Fábio Silva,5.4,5.4,Wolves,36,1.79,35,1.86,37,1.70,0.00
D,553,Giles,4.5,4.5,Luton,34,0.97,30,1.09,32,0.84,0.00
M,554,Guedes,5.4,5.4,Wolves,0,0.00,0,0.00,0,0.00,0.00
M,555,Hodge,4.4,4.4,Wolves,17,0.60,11,0.42,12,0.42,0.00
D,556,Hoever,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0.00
M,557,Hee Chan,5.4,5.4,Wolves,72,3.35,68,3.44,67,2.96,0.00
F,558,Raúl,5.4,5.4,Fulham,75,4.13,74,2.98,70,2.88,0.00
M,559,João Gomes,4.9,4.9,Wolves,78,2.13,71,2.04,63,1.74,0.00
D,560,J.Otto,4.4,4.4,Wolves,3,0.09,4,0.15,8,0.24,0.00
M,561,Jordão,4.4,4.4,Wolves,3,0.15,2,0.10,3,0.13,0.00
F,562,Kalajdžić,4.9,4.9,Wolves,13,0.73,14,0.84,16,0.89,0.00
D,563,Kilman,4.5,4.5,Wolves,90,2.46,87,2.60,85,2.02,0.00
G,564,King,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0.00
M,565,Lemina,4.9,4.9,Wolves,83,2.27,57,1.78,63,1.80,0.00
M,566,Matheus N.,5.0,5.0,Man City,51,1.91,34,1.65,38,1.57,0.00
M,567,Neto,5.6,5.6,Wolves,80,3.33,77,3.42,78,3.01,0.00
M,568,Podence,5.3,5.3,Wolves,0,0.00,0,0.00,0,0.00,0.00
G,569,José Sá,5.0,5.0,Wolves,94,3.39,93,3.48,92,3.20,0.00
M,570,Sarabia,4.9,4.9,Wolves,52,2.53,49,2.56,51,2.33,0.00
G,571,Šarkić,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0.00
D,572,N.Semedo,4.5,4.5,Wolves,89,2.47,85,2.62,81,1.97,0.00
D,573,Toti,4.4,4.4,Wolves,29,0.91,33,1.09,35,0.93,0.00
M,574,Boubacar Traore,4.4,4.4,Wolves,30,0.94,21,0.71,22,0.70,0.00
D,575,Lockyer,4.3,4.3,Luton,87,1.73,84,2.33,80,1.49,0.00
D,576,Robinson,4.5,4.5,Sheffield Utd,87,2.10,82,1.71,80,1.02,0.00
D,577,Ogbonna,4.4,4.4,West Ham,5,0.17,7,0.21,9,0.36,0.00
M,578,Nelson,4.9,4.9,Arsenal,17,0.91,8,0.51,9,0.69,0.00
G,579,Lonergan,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0.00
G,580,Karius,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,581,Dummett,3.9,3.9,Newcastle,15,0.48,11,0.46,9,0.32,0.00
M,582,Mpanzu,4.9,4.9,Luton,61,1.74,44,1.36,48,1.36,0.00
M,583,Solomon,5.3,5.3,Spurs,49,3.00,49,2.98,45,2.36,0.00
D,584,Pau,4.5,4.5,Aston Villa,89,3.23,88,3.13,87,4.29,0.00
D,585,J.Timber,4.7,4.7,Arsenal,0,0.00,0,0.00,0,0.00,0.00
M,586,Chong,4.9,4.9,Luton,55,2.18,48,2.00,48,1.83,0.00
M,587,Slimane,4.8,4.8,Sheffield Utd,15,0.59,14,0.56,13,0.51,0.00
D,588,Young,4.4,4.4,Everton,72,3.15,67,1.29,66,1.95,0.00
M,589,Ângelo,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
F,590,Cunha,5.5,5.5,Wolves,76,3.33,74,3.47,71,2.92,0.00
M,591,Willian,5.3,5.3,Fulham,73,4.18,72,2.96,72,2.91,0.00
D,592,Larouci,4.4,4.4,Sheffield Utd,12,0.44,9,0.30,12,0.33,0.00
F,593,T.Bénie,5.3,5.3,Sheffield Utd,28,1.20,26,1.15,27,1.05,0.00
F,594,Amdouni,5.4,5.4,Burnley,53,2.42,53,2.49,50,2.48,0.00
D,595,Kerkez,4.5,4.5,Bournemouth,82,2.42,74,2.74,71,2.97,0.00
G,596,Trafford,4.5,4.5,Burnley,93,3.18,92,3.20,91,3.26,0.03
G,597,Onana,4.9,4.9,Man Utd,94,3.85,92,3.84,92,3.31,0.16
D,598,Doherty,4.3,4.3,Wolves,26,1.00,29,1.18,31,1.03,0.00
M,599,Diaby,6.7,6.7,Aston Villa,62,3.28,77,4.26,76,4.96,0.05
M,600,Redmond,4.8,4.8,Burnley,1,0.07,5,0.27,5,0.29,0.00
M,601,Danjuma,5.5,5.5,Everton,36,2.64,37,1.94,38,2.19,0.00
D,602,Kaboré,4.0,4.0,Luton,85,1.74,83,2.36,80,1.53,0.38
M,603,Barnes,6.3,6.3,Newcastle,0,0.00,0,0.00,0,0.00,0.00
D,604,Aina,4.5,4.5,Nott'm Forest,57,1.97,66,3.13,62,1.12,0.00
M,605,Koleosho,5.0,5.0,Burnley,64,2.47,59,2.38,57,2.38,0.00
D,606,Igor,4.3,4.3,Brighton,14,0.33,15,0.27,16,0.57,0.00
G,607,Radu,4.4,4.4,Bournemouth,0,0.00,2,0.07,1,0.06,0.00
M,608,Bruun Larsen,4.9,4.9,Burnley,19,0.97,15,0.76,18,0.95,0.00
M,609,Maatsen,5.2,5.2,Chelsea,42,1.55,20,0.67,19,0.72,0.00
D,610,Bassey,4.5,4.5,Fulham,16,0.74,27,0.69,25,0.64,0.00
D,611,Disasi,5.1,5.1,Chelsea,86,3.68,57,1.62,53,2.28,0.00
